6 位编码	患者表征	针灸治疗	中药选择	食疗方案
000000	无分叶、无棘刺、磨玻璃结节、边缘难分辨、有钙化、良性	主穴：肺俞、太渊、足三里、脾俞；配穴：气海、膏肓；补法，留针 25-30 分钟，每周 3 次	玉屏风散合二陈汤加减（黄芪、白术、防风、陈皮、半夏、茯苓、甘草）	黄芪山药粥（黄芪 30g + 山药 50g + 粳米 100g）、党参炖鸡（党参 30g + 鸡肉 250g），每日 1 剂交替
000001	无分叶、无棘刺、磨玻璃结节、边缘难分辨、有钙化、良恶性暂不确定	无临床意义	无	无
000002	无分叶、无棘刺、磨玻璃结节、边缘难分辨、有钙化、恶性	无临床意义	无	无
000010	无分叶、无棘刺、磨玻璃结节、边缘难分辨、无钙化、良性	主穴：肺俞、丰隆、阴陵泉、中脘；配穴：脾俞；平补平泻，留针 20 分钟，隔日 1 次	二陈汤合苓桂术甘汤加减（陈皮、半夏、茯苓、桂枝、白术、甘草、薏米）	薏米红豆汤（薏米 30g + 红豆 30g + 茯苓 15g）、陈皮茯苓粥（陈皮 10g + 茯苓 15g + 粳米 100g），每日 1 剂
000011	无分叶、无棘刺、磨玻璃结节、边缘难分辨、无钙化、良恶性暂不确定	主穴：肺俞、丰隆、太冲、阴陵泉；配穴：膻中；平补平泻，留针 20 分钟，每周 3 次	二陈汤合柴胡疏肝散加减（陈皮、半夏、茯苓、柴胡、香附、枳壳、白芍）	薏米红豆汤 + 玫瑰花茶（玫瑰花 3g 代茶饮）、冬瓜海带汤，每日 1 剂
000012	无分叶、无棘刺、磨玻璃结节、边缘难分辨、无钙化、恶性	无临床意义	无	无
000100	无分叶、无棘刺、磨玻璃结节、边缘可分辨、有钙化、良性	主穴：肺俞、足三里、太渊、膻中；配穴：关元；补法，留针 25 分钟，每周 3 次	玉屏风散合三子养亲汤加减（黄芪、白术、防风、苏子、白芥子、莱菔子）	山药百合粥（山药 50g + 百合 30g + 粳米 100g）、红枣银耳汤，每日 1 剂
000101	无分叶、无棘刺、磨玻璃结节、边缘可分辨、有钙化、良恶性暂不确定	无临床意义	无	无
000102	无分叶、无棘刺、磨玻璃结节、边缘可分辨、有钙化、恶性	无临床意义	无	无
000110	无分叶、无棘刺、磨玻璃结节、边缘可分辨、无钙化、良性	主穴：肺俞、丰隆、足三里、中脘；配穴：三阴交；平补平泻，留针 20 分钟，隔日 1 次	六君子汤合二陈汤加减（党参、白术、茯苓、陈皮、半夏、甘草、薏米）	陈皮山药粥、白萝卜排骨汤，每日 1 剂
000111	无分叶、无棘刺、磨玻璃结节、边缘可分辨、无钙化、良恶性暂不确定	主穴：肺俞、丰隆、太冲、血海；配穴：内关；平补平泻，留针 20 分钟，每周 3 次	二陈汤合桃红四物汤加减（陈皮、半夏、茯苓、桃仁、红花、当归、白芍）	薏米红豆汤 + 黑木耳红枣汤（黑木耳 15g + 红枣 10 枚），每日 1 剂
000112	无分叶、无棘刺、磨玻璃结节、边缘可分辨、无钙化、恶性	无临床意义	无	无
000200	无分叶、无棘刺、磨玻璃结节、边缘清晰、有钙化、良性	主穴：肺俞、太渊、足三里、关元；配穴：膏肓；补法，留针 30 分钟，每周 3 次	补中益气汤合玉屏风散加减（黄芪、党参、白术、陈皮、升麻、防风、甘草）	核桃山药粥（核桃 30g + 山药 50g + 粳米 100g）、桂圆红枣粥，每日 1 剂
000201	无分叶、无棘刺、磨玻璃结节、边缘清晰、有钙化、良恶性暂不确定	无临床意义	无	无
000202	无分叶、无棘刺、磨玻璃结节、边缘清晰、有钙化、恶性	无临床意义	无	无
000210	无分叶、无棘刺、磨玻璃结节、边缘清晰、无钙化、良性	主穴：肺俞、脾俞、丰隆、足三里；配穴：气海；平补平泻，留针 25 分钟，每周 3 次	六君子汤加减（党参、白术、茯苓、陈皮、半夏、甘草、山药）	黄芪茯苓粥、鸡肉冬瓜汤，每日 1 剂
000211	无分叶、无棘刺、磨玻璃结节、边缘清晰、无钙化、良恶性暂不确定	主穴：肺俞、丰隆、太冲、脾俞；配穴：膻中；平补平泻，留针 25 分钟，每周 3 次	六君子汤合柴胡疏肝散加减（党参、白术、茯苓、柴胡、香附、陈皮、半夏）	山药粥 + 陈皮菊花茶（陈皮 3g + 菊花 3g 代茶饮），每日 1 剂
000212	无分叶、无棘刺、磨玻璃结节、边缘清晰、无钙化、恶性	无临床意义	无	无
001000	无分叶、无棘刺、混合实性结节、边缘难分辨、有钙化、良性	主穴：肺俞、太渊、足三里、膈俞；配穴：膏肓；补法为主，膈俞平补平泻，留针 25 分钟，每周 3 次	玉屏风散合失笑散加减（黄芪、白术、防风、五灵脂、蒲黄、茯苓）	黄芪桃仁粥（黄芪 30g + 桃仁 10g + 粳米 100g）、党参炖排骨，每日 1 剂
001001	无分叶、无棘刺、混合实性结节、边缘难分辨、有钙化、良恶性暂不确定	无临床意义	无	无
001002	无分叶、无棘刺、混合实性结节、边缘难分辨、有钙化、恶性	无临床意义	无	无
001010	无分叶、无棘刺、混合实性结节、边缘难分辨、无钙化、良性	主穴：肺俞、丰隆、尺泽、血海；配穴：中脘；尺泽泻法，余平补平泻，留针 20 分钟，隔日 1 次	清气化痰丸合桃红四物汤加减（瓜蒌、黄芩、杏仁、陈皮、桃仁、红花、当归）	川贝雪梨汤（川贝 10g + 雪梨 1 个）、薏米冬瓜汤，每日 1 剂
001011	无分叶、无棘刺、混合实性结节、边缘难分辨、无钙化、良恶性暂不确定	主穴：肺俞、丰隆、太冲、尺泽；配穴：膈俞；尺泽泻法，余平补平泻，留针 25 分钟，每周 3 次	清气化痰丸合柴胡疏肝散加减（瓜蒌、黄芩、陈皮、柴胡、香附、桃仁、赤芍）	川贝雪梨汤 + 山楂粥（山楂 30g + 粳米 100g），每日 1 剂
001012	无分叶、无棘刺、混合实性结节、边缘难分辨、无钙化、恶性	主穴：肺俞、尺泽、鱼际、血海；配穴：大椎、膈俞；泻法，留针 20 分钟，每日 1 次	清气化痰丸合五味消毒饮加减（瓜蒌、黄芩、蒲公英、金银花、连翘、桃仁、红花）	川贝雪梨汤、绿豆粥、冬瓜薏苡仁汤，每日 1 剂交替
001100	无分叶、无棘刺、混合实性结节、边缘可分辨、有钙化、良性	主穴：肺俞、太渊、足三里、脾俞；配穴：膈俞；补法，留针 30 分钟，每周 3 次	补中益气汤合失笑散加减（黄芪、党参、白术、五灵脂、蒲黄、陈皮、甘草）	山药桃仁粥、红枣桂圆汤，每日 1 剂
001101	无分叶、无棘刺、混合实性结节、边缘可分辨、有钙化、良恶性暂不确定	无临床意义	无	无
001102	无分叶、无棘刺、混合实性结节、边缘可分辨、有钙化、恶性	无临床意义	无	无
001110	无分叶、无棘刺、混合实性结节、边缘可分辨、无钙化、良性	主穴：肺俞、丰隆、足三里、血海；配穴：中脘；平补平泻，留针 25 分钟，每周 3 次	六君子汤合桃红四物汤加减（党参、白术、茯苓、桃仁、红花、陈皮、半夏）	山楂茯苓粥、黑木耳炒芹菜，每日 1 剂
001111	无分叶、无棘刺、混合实性结节、边缘可分辨、无钙化、良恶性暂不确定	主穴：肺俞、丰隆、太冲、膈俞；配穴：内关；平补平泻，留针 25 分钟，每周 3 次	二陈汤合血府逐瘀汤加减（陈皮、半夏、桃仁、红花、当归、柴胡、枳壳）	山楂桃仁粥（山楂 30g + 桃仁 10g + 粳米 100g）、白萝卜海带汤，每日 1 剂
001112	无分叶、无棘刺、混合实性结节、边缘可分辨、无钙化、恶性	主穴：肺俞、尺泽、太冲、血海；配穴：大椎、膈俞；泻法，留针 25 分钟，隔日 1 次	血府逐瘀汤合五味消毒饮加减（桃仁、红花、当归、柴胡、蒲公英、金银花、连翘）	山楂桃仁粥、川贝雪梨汤、绿豆汤，每日 1 剂交替
001200	无分叶、无棘刺、混合实性结节、边缘清晰、有钙化、良性	主穴：肺俞、太渊、关元、足三里；配穴：脾俞；补法，留针 30 分钟，每周 3 次	玉屏风散合补中益气汤加减（黄芪、白术、防风、党参、白术、陈皮、甘草）	核桃红枣粥、黄芪炖鸡，每日 1 剂
001201	无分叶、无棘刺、混合实性结节、边缘清晰、有钙化、良恶性暂不确定	无临床意义	无	无
001202	无分叶、无棘刺、混合实性结节、边缘清晰、有钙化、恶性	无临床意义	无	无
001210	无分叶、无棘刺、混合实性结节、边缘清晰、无钙化、良性	主穴：肺俞、脾俞、足三里、血海；配穴：气海；补法为主，血海平补平泻，留针 25 分钟，每周 3 次	六君子汤合失笑散加减（党参、白术、茯苓、五灵脂、蒲黄、陈皮、半夏）	山药粥、黑木耳红枣汤，每日 1 剂
001211	无分叶、无棘刺、混合实性结节、边缘清晰、无钙化、良恶性暂不确定	主穴：肺俞、太冲、足三里、膈俞；配穴：膻中；平补平泻，留针 25 分钟，每周 3 次	柴胡疏肝散合桃红四物汤加减（柴胡、香附、桃仁、红花、当归、白芍、白术）	山楂粥、陈皮茯苓粥，每日 1 剂
001212	无分叶、无棘刺、混合实性结节、边缘清晰、无钙化、恶性	主穴：肺俞、太冲、膈俞、尺泽；配穴：大椎、血海；泻法，留针 25 分钟，隔日 1 次	血府逐瘀汤合清气化痰丸加减（桃仁、红花、当归、瓜蒌、黄芩、陈皮、柴胡）	山楂桃仁粥、川贝雪梨汤、冬瓜汤，每日 1 剂交替
002000	无分叶、无棘刺、实性结节、边缘难分辨、有钙化、良性	主穴：肺俞、太渊、足三里、关元；配穴：膏肓、膈俞；补法，留针 30 分钟，每周 3 次	金匮肾气丸合玉屏风散加减（附子、肉桂、熟地、山药、黄芪、白术、防风）	羊肉汤（羊肉 250g + 生姜 3 片 + 当归 10g）、核桃山药粥，每日 1 剂
002001	无分叶、无棘刺、实性结节、边缘难分辨、有钙化、良恶性暂不确定	无临床意义	无	无
002002	无分叶、无棘刺、实性结节、边缘难分辨、有钙化、恶性	无临床意义	无	无
002010	无分叶、无棘刺、实性结节、边缘难分辨、无钙化、良性	主穴：肺俞、血海、膈俞、足三里；配穴：膻中；平补平泻，留针 25 分钟，每周 3 次	桃红四物汤合二陈汤加减（桃仁、红花、当归、陈皮、半夏、茯苓、甘草）	山楂桃仁粥、黑木耳红枣汤，每日 1 剂
002011	无分叶、无棘刺、实性结节、边缘难分辨、无钙化、良恶性暂不确定	主穴：肺俞、太冲、血海、膈俞；配穴：内关；平补平泻，留针 25 分钟，隔日 1 次	血府逐瘀汤合二陈汤加减（桃仁、红花、当归、柴胡、陈皮、半夏、茯苓）	山楂桃仁粥、玫瑰花茶、白萝卜汤，每日 1 剂
002012	无分叶、无棘刺、实性结节、边缘难分辨、无钙化、恶性	主穴：肺俞、太冲、血海、尺泽；配穴：大椎、膈俞；强泻法，留针 30 分钟，隔日 1 次	血府逐瘀汤合五味消毒饮加减（桃仁、红花、当归、柴胡、蒲公英、金银花、连翘）	山楂桃仁粥、川贝雪梨汤、绿豆粥，每日 1 剂交替
002100	无分叶、无棘刺、实性结节、边缘可分辨、有钙化、良性	主穴：肺俞、太渊、关元、脾俞；配穴：足三里；补法，留针 30 分钟，每周 3 次	补中益气汤合金匮肾气丸加减（黄芪、党参、白术、熟地、山药、附子、肉桂）	桂圆红枣粥、羊肉山药汤，每日 1 剂
002101	无分叶、无棘刺、实性结节、边缘可分辨、有钙化、良恶性暂不确定	无临床意义	无	无
002102	无分叶、无棘刺、实性结节、边缘可分辨、有钙化、恶性	无临床意义	无	无
002110	无分叶、无棘刺、实性结节、边缘可分辨、无钙化、良性	主穴：肺俞、血海、足三里、脾俞；配穴：膈俞；补法为主，血海平补平泻，留针 25 分钟，每周 3 次	六君子汤合桃红四物汤加减（党参、白术、茯苓、桃仁、红花、当归、陈皮）	山药桃仁粥、鸡肉黑木耳汤，每日 1 剂
002111	无分叶、无棘刺、实性结节、边缘可分辨、无钙化、良恶性暂不确定	主穴：肺俞、太冲、血海、足三里；配穴：膈俞、内关；平补平泻，留针 25 分钟，隔日 1 次	柴胡疏肝散合桃红四物汤加减（柴胡、香附、桃仁、红花、当归、白芍、茯苓）	山楂粥、黑木耳红枣汤、陈皮茶，每日 1 剂
002112	无分叶、无棘刺、实性结节、边缘可分辨、无钙化、恶性	主穴：肺俞、太冲、膈俞、血海；配穴：大椎、尺泽；泻法，留针 30 分钟，隔日 1 次	血府逐瘀汤合西黄丸加减（桃仁、红花、当归、柴胡、牛黄、麝香、乳香）	山楂桃仁粥、川贝雪梨汤、冬瓜薏苡仁汤，每日 1 剂交替
002200	无分叶、无棘刺、实性结节、边缘清晰、有钙化、良性	主穴：肺俞、太渊、关元、气海；配穴：足三里、膏肓；补法，留针 30 分钟，每周 3 次	玉屏风散合右归丸加减（黄芪、白术、防风、熟地、山药、附子、肉桂）	核桃粥、羊肉汤、桂圆红枣汤，每日 1 剂交替
002201	无分叶、无棘刺、实性结节、边缘清晰、有钙化、良恶性暂不确定	无临床意义	无	无
002202	无分叶、无棘刺、实性结节、边缘清晰、有钙化、恶性	无临床意义	无	无
002210	无分叶、无棘刺、实性结节、边缘清晰、无钙化、良性	主穴：肺俞、脾俞、足三里、血海；配穴：关元；补法为主，血海平补平泻，留针 30 分钟，每周 3 次	六君子汤合失笑散加减（党参、白术、茯苓、五灵脂、蒲黄、陈皮、甘草）	山药粥、红枣黑木耳汤、黄芪炖鸡，每日 1 剂交替
002211	无分叶、无棘刺、实性结节、边缘清晰、无钙化、良恶性暂不确定	主穴：肺俞、太冲、足三里、膈俞；配穴：膻中；平补平泻，留针 25 分钟，隔日 1 次	柴胡疏肝散合失笑散加减（柴胡、香附、五灵脂、蒲黄、陈皮、白术、茯苓）	山楂粥、陈皮茯苓粥、核桃汤，每日 1 剂
002212	无分叶、无棘刺、实性结节、边缘清晰、无钙化、恶性	主穴：肺俞、太冲、膈俞、血海；配穴：大椎、内关；强泻法，留针 30 分钟，隔日 1 次	血府逐瘀汤合清气化痰丸加减（桃仁、红花、当归、瓜蒌、黄芩、柴胡、枳壳）	山楂桃仁粥、川贝雪梨汤、绿豆汤，每日 1 剂交替
010011	近似无分叶、无棘刺、磨玻璃结节、边缘难分辨、无钙化、良恶性暂不确定	主穴：肺俞、丰隆、太冲、膻中；配穴：阴陵泉；平补平泻，留针 20 分钟，每周 3 次	二陈汤合柴胡疏肝散加减（陈皮、半夏、茯苓、柴胡、香附、枳壳、薏米）	薏米红豆汤 + 佛手茶（佛手 3g 代茶饮）、冬瓜汤，每日 1 剂
010111	近似无分叶、无棘刺、磨玻璃结节、边缘可分辨、无钙化、良恶性暂不确定	主穴：肺俞、丰隆、太冲、血海；配穴：内关；平补平泻，留针 25 分钟，每周 3 次	二陈汤合桃红四物汤加减（陈皮、半夏、茯苓、桃仁、红花、当归、柴胡）	薏米红豆汤 + 山楂粥、白萝卜排骨汤，每日 1 剂
010211	近似无分叶、无棘刺、磨玻璃结节、边缘清晰、无钙化、良恶性暂不确定	主穴：肺俞、丰隆、太冲、脾俞；配穴：气海；平补平泻，留针 25 分钟，每周 3 次	六君子汤合柴胡疏肝散加减（党参、白术、茯苓、柴胡、香附、陈皮、半夏）	山药薏米粥 + 玫瑰花茶、红枣银耳汤，每日 1 剂
011012	近似无分叶、无棘刺、混合实性结节、边缘难分辨、无钙化、恶性	主穴：肺俞、尺泽、太冲、血海；配穴：大椎、膈俞；泻法，留针 25 分钟，隔日 1 次	清气化痰丸合血府逐瘀汤加减（瓜蒌、黄芩、桃仁、红花、当归、柴胡、陈皮）	川贝雪梨汤、山楂桃仁粥、绿豆粥，每日 1 剂交替
011112	近似无分叶、无棘刺、混合实性结节、边缘可分辨、无钙化、恶性	主穴：肺俞、太冲、膈俞、尺泽；配穴：大椎、血海；泻法，留针 25 分钟，隔日 1 次	血府逐瘀汤合清气化痰丸加减（桃仁、红花、当归、瓜蒌、黄芩、柴胡、连翘）	山楂桃仁粥、川贝雪梨汤、冬瓜汤，每日 1 剂交替
011212	近似无分叶、无棘刺、混合实性结节、边缘清晰、无钙化、恶性	主穴：肺俞、太冲、膈俞、尺泽；配穴：大椎、内关；泻法，留针 30 分钟，隔日 1 次	血府逐瘀汤合五味消毒饮加减（桃仁、红花、当归、蒲公英、金银花、连翘、柴胡）	山楂桃仁粥、川贝雪梨汤、绿豆汤，每日 1 剂交替
012012	近似无分叶、无棘刺、实性结节、边缘难分辨、无钙化、恶性	主穴：肺俞、太冲、血海、尺泽；配穴：大椎、膈俞；强泻法，留针 30 分钟，隔日 1 次	血府逐瘀汤合五味消毒饮加减（桃仁、红花、当归、柴胡、蒲公英、金银花、连翘）	山楂桃仁粥、川贝雪梨汤、冬瓜薏苡仁汤，每日 1 剂交替
012112	近似无分叶、无棘刺、实性结节、边缘可分辨、无钙化、恶性	主穴：肺俞、太冲、膈俞、尺泽；配穴：大椎、血海；泻法，留针 30 分钟，隔日 1 次	血府逐瘀汤合五味消毒饮加减（桃仁、红花、当归、蒲公英、金银花、连翘、柴胡）	山楂桃仁粥、川贝雪梨汤、冬瓜汤，每日 1 剂交替
012212	近似无分叶、无棘刺、实性结节、边缘清晰、无钙化、恶性	主穴：肺俞、太冲、膈俞、血海；配穴：大椎、尺泽、内关；泻法，留针 30 分钟，隔日 1 次	血府逐瘀汤合西黄丸加减（桃仁、红花、当归、牛黄、乳香、没药、柴胡）	山楂桃仁粥、川贝雪梨汤、冬瓜薏苡仁汤，每日 1 剂交替
020011	近似无分叶、近似无棘刺、磨玻璃结节、边缘难分辨、无钙化、良恶性暂不确定	主穴：肺俞、丰隆、太冲、阴陵泉；配穴：膈俞；平补平泻，留针 20 分钟，每周 3 次	二陈汤合桃红四物汤加减（陈皮、半夏、茯苓、桃仁、红花、柴胡、薏米）	薏米红豆汤 + 黑木耳红枣汤、陈皮茶，每日 1 剂
021012	近似无分叶、近似无棘刺、混合实性结节、边缘难分辨、无钙化、恶性	主穴：肺俞、尺泽、太冲、膈俞；配穴：大椎、血海；泻法，留针 25 分钟，隔日 1 次	清气化痰丸合五味消毒饮加减（瓜蒌、黄芩、蒲公英、金银花、桃仁、红花、柴胡）	川贝雪梨汤、山楂桃仁粥、绿豆汤，每日 1 剂交替
022112	近似无分叶、近似无棘刺、实性结节、边缘可分辨、无钙化、恶性	主穴：肺俞、太冲、膈俞、血海；配穴：大椎、尺泽；强泻法，留针 30 分钟，隔日 1 次	血府逐瘀汤合西黄丸加减（桃仁、红花、当归、牛黄、乳香、没药、柴胡）	山楂桃仁粥、川贝雪梨汤、冬瓜薏苡仁汤，每日 1 剂交替
100011	有分叶、无棘刺、磨玻璃结节、边缘难分辨、无钙化、良恶性暂不确定	主穴：肺俞、太冲、丰隆、膈俞；配穴：膻中；平补平泻，留针 25 分钟，隔日 1 次	柴胡疏肝散合二陈汤加减（柴胡、香附、陈皮、半夏、茯苓、桃仁、红花）	薏米红豆汤 + 山楂桃仁粥、玫瑰花茶，每日 1 剂
101012	有分叶、无棘刺、混合实性结节、边缘难分辨、无钙化、恶性	主穴：肺俞、尺泽、太冲、血海；配穴：大椎、膈俞；泻法，留针 25 分钟，每日 1 次	清气化痰丸合血府逐瘀汤加减（瓜蒌、黄芩、桃仁、红花、当归、柴胡、连翘）	川贝雪梨汤、山楂桃仁粥、绿豆粥，每日 1 剂交替
101112	有分叶、无棘刺、混合实性结节、边缘可分辨、无钙化、恶性	主穴：肺俞、尺泽、太冲、膈俞；配穴：大椎、血海；强泻法，留针 25 分钟，每日 1 次	清气化痰丸合血府逐瘀汤加减（瓜蒌、黄芩、桃仁、红花、当归、柴胡、蒲公英）	川贝雪梨汤、山楂桃仁粥、绿豆汤，每日 1 剂交替
102012	有分叶、无棘刺、实性结节、边缘难分辨、无钙化、恶性	主穴：肺俞、太冲、膈俞、血海；配穴：大椎、尺泽；强泻法，留针 30 分钟，隔日 1 次	血府逐瘀汤合五味消毒饮加减（桃仁、红花、当归、蒲公英、金银花、连翘、枳壳）	山楂桃仁粥、川贝雪梨汤、冬瓜汤，每日 1 剂交替
102112	有分叶、无棘刺、实性结节、边缘可分辨、无钙化、恶性	主穴：肺俞、太冲、膈俞、血海；配穴：大椎、尺泽；强泻法，留针 30 分钟，隔日 1 次	血府逐瘀汤合五味消毒饮加减（桃仁、红花、当归、蒲公英、金银花、连翘、枳壳）	山楂桃仁粥、川贝雪梨汤、冬瓜汤，每日 1 剂交替
102212	近似无分叶、无棘刺、实性结节、边缘清晰、无钙化、恶性	主穴：肺俞、太冲、膈俞、血海；配穴：大椎、尺泽、内关；主穴泻法、配穴平补平泻，留针 30 分钟，隔日 1 次	血府逐瘀汤合五味消毒饮加减（桃仁 10g、红花 6g、当归 12g、柴胡 6g、枳壳 10g、生地 12g、金银花 15g、蒲公英 15g、连翘 12g、浙贝母 10g）	山楂桃仁粥、川贝雪梨浙贝汤、茯苓冬瓜薏苡仁汤，每日 1 剂交替，忌温补
110012	有分叶、近似无棘刺、磨玻璃结节、边缘难分辨、无钙化、恶性	无临床意义	无	无
111012	有分叶、近似无棘刺、混合实性结节、边缘难分辨、无钙化、恶性	主穴：肺俞、尺泽、太冲、膈俞；配穴：大椎、血海；强泻法，留针 25 分钟，每日 1 次	清气化痰丸合血府逐瘀汤加减（瓜蒌、黄芩、桃仁、红花、当归、柴胡、蒲公英）	川贝雪梨汤、山楂桃仁粥、绿豆汤，每日 1 剂交替
112112	有分叶、近似无棘刺、实性结节、边缘可分辨、无钙化、恶性	主穴：肺俞、太冲、膈俞、血海；配穴：大椎、尺泽、内关；强泻法，留针 30 分钟，隔日 1 次	血府逐瘀汤合西黄丸加减（桃仁、红花、当归、牛黄、麝香、乳香、柴胡）	山楂桃仁粥、川贝雪梨汤、冬瓜薏苡仁汤，每日 1 剂交替
120012	有分叶、有棘刺、磨玻璃结节、边缘难分辨、无钙化、恶性	无临床意义	无	无
121012	有分叶、有棘刺、混合实性结节、边缘难分辨、无钙化、恶性	主穴：肺俞、尺泽、太冲、膈俞；配穴：大椎、血海、内关；强泻法，留针 30 分钟，每日 1 次	血府逐瘀汤合五味消毒饮加减（桃仁、红花、当归、蒲公英、金银花、连翘、蜈蚣）	川贝雪梨汤、山楂桃仁粥、绿豆粥，每日 1 剂交替，忌辛辣油腻
122112	有分叶、有棘刺、实性结节、边缘可分辨、无钙化、恶性	主穴：肺俞、太冲、膈俞、血海；配穴：大椎、尺泽、期门；强泻法，留针 30 分钟，隔日 1 次	血府逐瘀汤合西黄丸加减（桃仁、红花、当归、牛黄、乳香、没药、蜈蚣）	山楂桃仁粥、川贝雪梨汤、冬瓜汤，每日 1 剂交替，戒烟酒避烟尘